,codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,hodometro,direcao
52,86885,LTB5540,29,-23.002232,-43.365113,1690378225000,0.0,,volta,29 - ALVORADA X S. ALLENDE (PARADOR) [VOLTA],514837.8, 
53,13414,KPY9731,25,-22.919539,-43.607846,1686886318000,0.0,,ida,25 -  MATO ALTO X ALVORADA (PARAD0R) [IDA],8259.2, 
54,13425,KRL4070,25,-23.00192,-43.366085,1690382532000,0.0,,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],1201.6, 
55,12738,KRR2404,10,-23.000756,-43.367972,1690387191000,20.6,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],37550.1,93
56,30502,LQT9173,19,-22.919615,-43.608327,1685235953000,0.0,,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],21983.5, 
57,86886,LTB5541,29,-23.001833,-43.365487,1690381511000,0.0,,volta,29 - ALVORADA X S. ALLENDE (PARADOR) [VOLTA],13206.6, 
58,47032,KXE8654,25,-23.01589,-43.519666,1686624152000,59.6,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],23120.5, 
59,13428,KXE7712,12,-23.018525,-43.507619,1690387197000,58.8,,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],57866.4,284
60,47006,KWZ8630,18,-23.006863,-43.31255,1690386622000,0.0,,volta,18 - JARDIM OCEÂNICO X RECREIO SHOPPING (EXPRESSO) [VOLTA],50951.9, 
61,KXE9191 PKP,KXE9191,0,-23.000823,-43.363679,1690383563000,0.0,,,,2597.7,48
62,47007,LSP6018,25,-23.018072,-43.509813,1690387182000,33.9,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],42311.8,107
63,13413,KWI9711,0,-23.00273,-43.365899,1690386200000,0.0,,,,43669.7, 
64,90001,KPZ5E15,12,-22.999699,-43.581356,1690387197000,59.0,,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],44328.6,286
65,901057,,53,-23.006866,-43.312261,1690387194000,0.0,,ida,53 - SENTIDO ALVORADA (EXPRESSO) [IDA],51214.0,84
66,901003,RKM8C54,22,-22.964475,-43.391757,1690382657000,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],22882.7,5
67,86874,KQB4102,29,-23.001926,-43.364732,1690387189000,0.0,,volta,29 - ALVORADA X S. ALLENDE (PARADOR) [VOLTA],512932.6, 
68,86879,LTN5696,12,-22.96538,-43.646589,1690387188000,21.5,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],1975.3,306
69,90003,KYN7F36,10,-23.006246,-43.435352,1690387190000,50.8,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],19070.5,254
70,12711,LSO1629,10,-22.919951,-43.607173,1678905395000,0.0,,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),4511.1, 
71,86809,LQH9072,0,-22.920542,-43.608248,1690383609000,0.0,,,,7406.0, 
72,47011,LRH8889,10,-23.00049,-43.366886,1690386844000,24.9,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],39691.3,187
73,47009,KPZ8430,10,-23.000672,-43.36471,1690387186000,0.0,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],54260.5, 
74,47014,KZI4452,25,-23.020438,-43.491172,1690387184000,53.3,,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],38159.3,260
75,30537,KXE7720,18,-23.006809,-43.313107,1690386236000,0.0,,volta,18 - JARDIM OCEÂNICO X RECREIO SHOPPING (EXPRESSO) [VOLTA],51600.6, 
76,50301,KPP5B70,25,-23.001839,-43.366214,1690385094000,0.0,,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],3994.1, 
77,47005,LSV5862,0,-22.920488,-43.608226,1690045260000,0.0,,,,42896.4, 
78,47018,LRS2843,10,-23.002487,-43.569874,1690387198000,60.2,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],33116.0,284
79,30536,KXE7721,10,-22.920297,-43.60846,1685827570000,0.0,,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),13477.3, 
80,44713,KPZ3559,12,-23.001819,-43.36578,1690386299000,0.0,,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],29735.7,215
81,13401,KQO7822,0,-22.920245,-43.608048,1690384589000,0.0,,,,53738.6, 
82,47021,KRM7686,20,-22.919605,-43.607079,1686513160000,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],24792.3, 
83,13421,KWO8119,12,-23.000653,-43.365605,1690387151000,0.0,,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],15067.1, 
84,13419,LTV5426,25,-23.000703,-43.368434,1690386649000,17.5,,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],43510.7,245
85,27174,KQP5437,13,-23.001796,-43.365954,1690383776000,0.0,,volta,13 - ALVORADA X  MATO ALTO (EXPRESSO) [VOLTA],19002.4, 
86,47026,KYA7928,10,-22.919951,-43.608633,1690382379000,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],32922.5, 
87,47024,KYS6559,0,-22.918807,-43.60743,1689975710000,0.0,,,,27809.6, 
88,86889,KRQ6878,10,-22.916915,-43.683507,1690387193000,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],515083.8, 
89,12724,LMJ1118,12,-23.000973,-43.364461,1690384215000,17.9,,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],9815.1,246
90,27209,LSL9B07,25,-23.000262,-43.366896,1690379455000,21.1,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],10202.5,142
91,27176,LRK9563,12,-23.000889,-43.368459,1690383257000,23.6,,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],13657.7,156
92,30511,KPV2250,12,-23.006844,-43.551851,1690387196000,27.9,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],49637.2,104
93,13427,KXE7711,0,-23.000654,-43.388607,1690387186000,9.9,,,,51985.0,87
94,12725,LMJ1327,12,-22.920218,-43.608011,1690386028000,0.0,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],39382.6, 
95,12737,KXO9461,18,-22.920542,-43.607195,1678193721000,0.0,,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO (EXPRESSO) [IDA],4377.2, 
96,13404,KQO7823,0,-22.920153,-43.608056,1690377280000,0.0,,,,56223.5,169
97,47022,KRM7701,25,-23.000262,-43.371052,1690387177000,59.1,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],13130.3,89
98,12736,LMJ4504,20,-22.92004,-43.608109,1690385824000,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],15484.1, 
99,12726,KXD8483,0,-22.920609,-43.608098,1690386656000,0.0,,,,18036.3, 
100,13422,LSI5978,10,-23.000679,-43.366368,1690382230000,10.3,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],40546.3,99
101,13402,LTL5480,12,-23.000713,-43.365934,1690386120000,0.0,,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],43367.8, 
102,12730,LSO8993,10,-22.917134,-43.683455,1690387184000,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],9412.2, 
103,86872,LSH7386,13,-23.00183,-43.366487,1690379425000,0.0,,volta,13 - ALVORADA X  MATO ALTO (EXPRESSO) [VOLTA],22548.1, 
104,12714,KXC7431,0,-22.919476,-43.607739,1690384887000,0.0,,,,39737.7, 
105,86878,LSZ6142,0,-22.920668,-43.608121,1688673854000,0.0,,,,23732.5, 
106,47017,LRS2841,12,-23.005,-43.430653,1690387191000,0.0,,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],48078.5,254
107,86859,KWJ9250,12,-23.001817,-43.366137,1690386688000,0.0,,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],18818.8, 
108,30506,LRC6583,18,-22.919917,-43.607602,1677872293000,0.0,,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO (EXPRESSO) [IDA],2161.9, 
109,30509,KYM4574,25,-23.000144,-43.37125,1690387190000,61.5,,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],53201.3,269
110,47008,KPY9735,10,-22.920562,-43.608147,1686654039000,0.0,,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),42835.5, 
111,12721,KXW7973,10,-22.920054,-43.607777,1679083219000,0.0,,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),986.6, 
112,12710,KRO9724,13,-23.001692,-43.364487,1690387181000,0.0,,ida,13 - MATO ALTO X ALVORADA (EXPRESSO) [IDA],38509.9, 
113,12720,KXD9430,0,-22.920675,-43.607744,1690383856000,0.0,,,,21893.1, 
